Country code,Economy,Region,Income group,DB Year,Ease of doing business rank,Ease of doing business score (DB17-20 methodology),Rank-Starting a business,Score-Starting a business,Rank-Dealing with construction permits,Score-Dealing with construction permits (DB16-20 methodology),Rank-Getting electricity,Score-Getting electricity (DB16-20 methodology),Rank-Registering property,Score-Registering property (DB17-20 methodology),Rank-Getting credit,Score-Getting credit (DB15-20 methodology),Rank-Protecting minority investors,Score-Protecting minority investors (DB15-20 methodology),Rank-Paying taxes,Score-Paying taxes (DB17-20 methodology),Rank-Trading across borders,Score-Trading across borders (DB16-20 methodology),Rank-Enforcing contracts,Score-Enforcing contracts (DB17-20 methodology),Rank-Resolving insolvency,Score-Resolving insolvency
AFG,Afghanistan,South Asia,Low income,2020,173.0,44.06497,52.0,91.99116,183.0,34.53602,173.0,44.20609,186.0,27.500000000000004,104.0,50.00000000000001,140.0,36.0,178.0,42.15851000000001,177.0,30.63301,181.0,31.75645,76.0,51.8685
AFG,Afghanistan,South Asia,Low income,2019,,44.20343,,92.0413,,34.53602,,44.5086,,27.500000000000004,,50.00000000000001,,36.0,,43.27458,,30.63301,,31.75645,,51.78437
AFG,Afghanistan,South Asia,Low income,2018,,37.13062,,82.55461000000003,,33.702690000000004,,44.57528000000001,,27.500000000000004,,45.00000000000001,,10.0,,41.965309999999995,,30.63301,,31.75645,,23.618830000000006
AFG,Afghanistan,South Asia,Low income,2017,,38.935629999999996,,90.35477,,33.702690000000004,,45.04448000000001,,27.500000000000004,,45.00000000000001,,10.0,,51.74607,,30.63301,,31.75645,,23.618830000000006
AFG,Afghanistan,South Asia,Low income,2016,,39.255190000000006,,90.47103,,33.702690000000004,,45.50980000000001,,27.500000000000004,,45.00000000000001,,10.0,,56.08968,,28.903450000000007,,31.75645,,23.618830000000006
AFG,Afghanistan,South Asia,Low income,2015,,,,90.95345,,33.702690000000004,,45.63326000000001,,,,45.00000000000001,,10.0,,,,28.903450000000007,,,,23.59928
AFG,Afghanistan,South Asia,Low income,2014,,,,91.55109,,,,,,,,45.00000000000001,,10.0,,,,,,,,23.618830000000006
AFG,Afghanistan,South Asia,Low income,2013,,,,88.31106000000003,,,,,,,,,,,,,,,,,,23.582770000000004
AFG,Afghanistan,South Asia,Low income,2012,,,,87.89886000000001,,,,,,,,,,,,,,,,,,23.618830000000006
AFG,Afghanistan,South Asia,Low income,2011,,,,87.78171999999999,,,,,,,,,,,,,,,,,,23.3743
AFG,Afghanistan,South Asia,Low income,2010,,,,87.34541999999999,,,,,,,,,,,,,,,,,,22.456570000000006
AFG,Afghanistan,South Asia,Low income,2009,,,,83.43736000000001,,,,,,,,,,,,,,,,,,22.456570000000006
AFG,Afghanistan,South Asia,Low income,2008,,,,80.29171000000002,,,,,,,,,,,,,,,,,,22.91065
AFG,Afghanistan,South Asia,Low income,2007,,,,84.16571,,,,,,,,,,,,,,,,,,0.0
AFG,Afghanistan,South Asia,Low income,2006,,,,83.19026000000002,,,,,,,,,,,,,,,,,,0.0
AFG,Afghanistan,South Asia,Low income,2005,,,,83.58984000000002,,,,,,,,,,,,,,,,,,0.0
AFG,Afghanistan,South Asia,Low income,2004,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Europe & Central Asia,Upper middle income,2020,82.0,67.74847000000001,53.0,91.75909,166.0,52.67715000000001,107.0,70.97943000000002,98.0,63.37749,48.0,70.0,111.0,46.00000000000001,123.0,65.15272,25.0,96.29094,120.0,53.51698,39.0,67.73092000000001
ALB,Albania,Europe & Central Asia,Upper middle income,2019,,66.99561,,91.70203,,52.64734000000001,,64.55635000000001,,62.91140000000001,,70.0,,46.00000000000001,,64.91484000000001,,96.29094,,53.51698,,67.41624
ALB,Albania,Europe & Central Asia,Upper middle income,2018,,66.83770000000001,,91.48908,,52.60171,,64.53069,,62.19619000000001,,70.0,,46.00000000000001,,64.79892000000001,,96.29094,,54.33875000000001,,66.13072000000001
ALB,Albania,Europe & Central Asia,Upper middle income,2017,,64.16093000000001,,91.42736,,52.56946000000001,,48.3001,,60.857409999999994,,60.00000000000001,,46.00000000000001,,65.33858000000001,,96.29094,,54.301260000000006,,66.52416000000001
ALB,Albania,Europe & Central Asia,Upper middle income,2016,,58.07559000000001,,91.69351,,0.0,,43.674659999999996,,60.13999,,60.00000000000001,,46.00000000000001,,61.39731,,96.96959,,54.33875000000001,,66.54213
ALB,Albania,Europe & Central Asia,Upper middle income,2015,,,,91.72916,,53.40669000000001,,43.75435,,,,60.00000000000001,,42.0,,,,96.49789,,,,66.06033000000001
ALB,Albania,Europe & Central Asia,Upper middle income,2014,,,,90.33793,,,,,,,,65.0,,42.0,,,,,,,,65.63846000000001
ALB,Albania,Europe & Central Asia,Upper middle income,2013,,,,90.19055999999999,,,,,,,,,,,,,,,,,,65.03843
ALB,Albania,Europe & Central Asia,Upper middle income,2012,,,,87.60174,,,,,,,,,,,,,,,,,,65.39585000000001
ALB,Albania,Europe & Central Asia,Upper middle income,2011,,,,87.29149000000002,,,,,,,,,,,,,,,,,,64.69504
ALB,Albania,Europe & Central Asia,Upper middle income,2010,,,,87.24216000000001,,,,,,,,,,,,,,,,,,64.58414
ALB,Albania,Europe & Central Asia,Upper middle income,2009,,,,82.00268000000001,,,,,,,,,,,,,,,,,,64.58414
ALB,Albania,Europe & Central Asia,Upper middle income,2008,,,,68.21229000000001,,,,,,,,,,,,,,,,,,63.54371
ALB,Albania,Europe & Central Asia,Upper middle income,2007,,,,69.03885000000001,,,,,,,,,,,,,,,,,,64.79518
